API_UWI,Unformatted_API_UWI,WellName,Country,StateProvince,County,ENVOperator,StateWellType,Formation,FirstProdDate,Latitude,Longitude,Latitude_BH,Longitude_BH,TVD_FT,MD_FT,Field,Section,Township,Range,Section_Township_Range,ElevationKB_FT,ElevationGL_FT,PermitApprovedDate,DrillingEndDate,StateFileNumber,UpperPerf_FT,LowerPerf_FT,FirstProdYear
33-105-01437,3310501437,TOMMY 1-20H,US,ND,WILLIAMS,SAMSON OIL AND GAS,OIL & GAS,MADISON | NESSON,1997-09-01,48.31524194987467,-103.56447220781536,48.32499306495385,-103.56946261579144,9057.0,12445.0,EAST FORK,20,156N,100W,20-156N-100W,1924.0,1910.0,,,,9268,12449,*Pre-2010
25-083-21118,2508321118,FEDERAL  1-8,US,MT,RICHLAND,SAMSON OIL AND GAS USA,INJECTION - DISPOSAL,RED RIVER NISKU,1976-02-01,48.014320309084844,-104.26185330319781,,,,12643.0,"Sioux Pass, North",08,026N,058E,08-026N-058E,,2123.0,1975-09-23,,,,,*Pre-2010
25-085-21708,2508521708,BERWICK  44-27H,US,MT,ROOSEVELT,SAMSON OIL AND GAS USA,OIL,RATCLIFFE,2007-10-01,48.144407282628364,-104.20687452485397,48.154743861625846,-104.21110527025914,,12353.0,Bainville,27,028N,058E,27-028N-058E,,1961.0,2006-08-23,,,,,*Pre-2010
33-053-02633,3305302633,LINDVIG 14-12H,US,ND,MCKENZIE,SAMSON OIL AND GAS,OIL & GAS,RIVAL,2005-05-01,47.993688,-103.560574,48.005949870497936,-103.54296859163098,9317.0,15372.0,CAMP,12,152N,101W,12-152N-101W,1917.0,1898.0,2005-03-01,2005-04-12,15756,9560,15418,*Pre-2010
33-053-02722,3305302722,SCHMITZ 44-35HA,US,ND,MCKENZIE,SAMSON OIL AND GAS,OIL & GAS,MADISON,2006-08-01,48.025065431099705,-103.758361028632,48.036279650208996,-103.77116455291728,9011.0,14449.0,INDIAN HILL,35,153N,102W,35-153N-102W,1895.0,1873.0,2006-05-04,2006-07-12,16218,9301,13613,*Pre-2010
33-053-02665,3305302665,SCHMITZ 44-30H,US,ND,MCKENZIE,SAMSON OIL AND GAS,OIL & GAS,MADISON POOL,2006-01-01,47.952946499999996,-103.5205138,47.962612231875895,-103.5379010877417,9319.0,14704.0,CAMP,30,152N,100W,30-152N-100W,2029.0,2005.0,2005-06-27,2005-12-26,15879,9703,14704,*Pre-2010
33-053-02668,3305302668,RIPKEN JR 1-7H,US,ND,MCKENZIE,SAMSON OIL AND GAS,OIL & GAS,MADISON POOL,2006-03-01,47.8204937,-103.77673879999998,47.83218930509395,-103.79450477818077,9337.0,15149.0,FOREMAN BUTTE,07,150N,102W,07-150N-102W,2190.0,2172.0,2005-08-03,2006-02-19,15914,9559,15149,*Pre-2010
33-053-02668,3305302668,RIPKEN JR 1-7H,US,ND,MCKENZIE,SAMSON OIL AND GAS,OIL & GAS,MADISON POOL,2006-03-01,47.8204937,-103.77673879999998,47.83218930509395,-103.79450477818077,9338.0,15149.0,FOREMAN BUTTE,07,150N,102W,07-150N-102W,2190.0,2172.0,2005-08-03,,,9553,15149,*Pre-2010
33-053-02584,3305302584,LINK 13-2H,US,ND,MCKENZIE,SAMSON OIL AND GAS,OIL & GAS,MADISON,2004-06-01,47.84004244999999,-103.71108100000001,47.83576728103059,-103.69282385299374,9417.0,14015.0,NAMELESS,02,150N,102W,02-150N-102W,2125.0,2111.0,2004-03-03,2004-05-20,15551,9604,14013,*Pre-2010
33-105-01544,3310501544,R.E. BEARCE 1-1H,US,ND,WILLIAMS,SAMSON OIL AND GAS,OIL & GAS,NESSON | RATCLIFFE,2006-08-01,48.00932653096556,-103.80025983629936,48.010287,-103.801276,9017.0,14819.0,EIGHTMILE,01,152N,103W,01-152N-103W,1889.0,1865.0,2005-06-28,2006-07-11,15884,9018,13851,*Pre-2010
33-105-01544,3310501544,R.E. BEARCE 1-1H,US,ND,WILLIAMS,SAMSON OIL AND GAS,OIL & GAS,NESSON | RATCLIFFE,2006-08-01,48.00932653096556,-103.80025983629936,48.010287,-103.801276,9017.0,14819.0,EIGHTMILE,01,152N,103W,01-152N-103W,1889.0,1865.0,2005-06-28,,,9018,14818,*Pre-2010
33-105-01544,3310501544,R.E. BEARCE 1-1H,US,ND,WILLIAMS,SAMSON OIL AND GAS,OIL & GAS,NESSON | RATCLIFFE,2006-08-01,48.00932653096556,-103.80025983629936,48.010287,-103.801276,9126.0,13851.0,EIGHTMILE,01,152N,103W,01-152N-103W,1889.0,1865.0,2005-06-28,,,9018,13851,*Pre-2010
25-085-21643,2508521643,CRUSCH  22X-3,US,MT,ROOSEVELT,SAMSON OIL AND GAS USA,OIL,RATCLIFFE,2000-01-01,48.2951509142426,-104.16502111603295,48.300576,-104.170383,,11301.0,Target,03,029N,058E,03-029N-058E,2433.0,2418.0,1999-10-22,,,,,*Pre-2010
